winner_name,winner_rank,loser_name,loser_rank,player-name,prev-rank
Grigor Dimitrov,17,Kei Nishikori,5,Roger Federer,3
Grigor Dimitrov,17,Milos Raonic,3,Dominic Thiem,4
Kei Nishikori,5,Stanislas Wawrinka,4,Facundo Arguello,173
Milos Raonic,3,Rafael Nadal,9,Rogerio Dutra Silva,204
Grigor Dimitrov,17,Dominic Thiem,8,Carlos Berlocq,202
Kei Nishikori,5,Jordan Thompson,79,Yannick Hanfmann,187
Stanislas Wawrinka,4,Kyle Edmund,45,Ruben Bemelmans,186
Milos Raonic,3,Diego Sebastian Schwartzman,52,Emilio Gomez,172
Rafael Nadal,9,Mischa Zverev,51,Mitchell Krueger,177
Dominic Thiem,8,Samuel Groth,180,Tommy Robredo,179
Grigor Dimitrov,17,Nicolas Mahut,39,Steven Diez,178
Jordan Thompson,79,David Ferrer,21,Dudi Sela,167
Kei Nishikori,5,Jared Donaldson,105,Pierre-Hugues Herbert,41
Kyle Edmund,45,Lucas Pouille,15,Mikhail Kukushkin,46
Stanislas Wawrinka,4,Viktor Troicki,29,Alexander Bublik,71
Diego Sebastian Schwartzman,52,Sam Querrey,31,Prajnesh Gunneswaran,91
Mischa Zverev,51,Alex De Minaur,351,Adrian Mannarino,59
Rafael Nadal,9,Alexandr Dolgopolov,62,Peter Gojowczyk,84
Samuel Groth,180,Pierre Hugues Herbert,78,Stefano Travaglia,81
Nicolas Mahut,39,Stephane Robert,54,Lorenzo Sonego,47
Grigor Dimitrov,17,Steve Johnson,33,Feliciano Lopez,63
David Ferrer,21,Bernard Tomic,26,Nicolas Jarry,67
Jordan Thompson,79,Elias Ymer,160,Bjorn Fratangelo,121
Jared Donaldson,105,Gilles Muller,34,Matthias Bachinger,115
Lucas Pouille,15,Gilles Simon,25,Denis Kudla,111
Kyle Edmund,45,Ernesto Escobedo,141,Tommy Paul,112
Viktor Troicki,29,Yoshihito Nishioka,100,Gregoire Barrere,107
Roberto Bautista Agut,14,Daniil Medvedev,99,Egor Gerasimov,128
Daniil Medvedev,99,Dudi Sela,96,Thiago Monteiro,102
Roberto Bautista Agut,14,Benoit Paire,47,Kamil Majchrzak,96
Daniil Medvedev,99,Jozef Kovalik,117,Dennis Novak,114
Dudi Sela,96,Albert Ramos,27,Jaume Munar,98
Benoit Paire,47,Aljaz Bedene,101,Guillermo Garcia-Lopez,161
Roberto Bautista Agut,14,Mikhail Youzhny,57,Jiri Vesely,142
Jozef Kovalik,117,Marin Cilic,6,Alessandro Giannessi,154
Daniil Medvedev,99,Yen Hsun Lu,64,Denis Istomin,140
Albert Ramos,27,Steve Darcis,86,Quentin Halys,164
Dudi Sela,96,Hyeon Chung,104,Alex Bolt,134
Benoit Paire,47,Yuki Bhambri,474,Yuichi Sugita,133
Aljaz Bedene,101,Martin Klizan,35,Tatsuma Ito,132
Mikhail Youzhny,57,Renzo Olivo,83,Hyeon Chung,135
Roberto Bautista Agut,14,Rogerio Dutra Silva,98,Go Soeda,170
Jozef Kovalik,117,Gastao Elias,81,Nikoloz Basilashvili,17
Daniil Medvedev,99,Thiago Monteiro,82,Stan Wawrinka,23
Yen Hsun Lu,64,Radu Albot,97,Alexander Zverev,6
Steve Darcis,86,Nikola Mektic,331,Matteo Berrettini,26
Dudi Sela,96,Damir Dzumhur,77,Richard Gasquet,56
Hyeon Chung,104,Borna Coric,48,Dusan Lajovic,28
Benoit Paire,47,Konstantin Kravchuk,85,Gilles Simon,35
Yuki Bhambri,474,Ramkumar Ramanathan,227,Joao Sousa,43
Aljaz Bedene,101,Guillermo Garcia Lopez,70,Laslo Djere,37
Mikhail Youzhny,57,Saketh Myneni,192,John Isner,16
Renzo Olivo,83,Casper Ruud,225,Novak Djokovic,1
Rogerio Dutra Silva,98,Dusan Lajovic,93,Juan Ignacio Londero,55
Novak Djokovic,2,Andy Murray,1,Roberto Carballes Baena,75
Andy Murray,1,Tomas Berdych,10,Daniel Evans,44
Novak Djokovic,2,Fernando Verdasco,42,Jordan Thompson,49
Andy Murray,1,Nicolas Almagro,44,Yoshihito Nishioka,77
Tomas Berdych,10,Jo Wilfried Tsonga,12,Marton Fucsovics,57
Fernando Verdasco,42,Ivo Karlovic,20,Marco Cecchinato,65
Novak Djokovic,2,Radek Stepanek,107,John Millman,61
Andy Murray,1,Gerald Melzer,68,Jeremy Chardy,69
Nicolas Almagro,44,Philipp Kohlschreiber,32,Tennys Sandgren,72
Tomas Berdych,10,Jiri Vesely,55,Felix Auger-Aliassime,21
Jo Wilfried Tsonga,12,Dustin Brown,72,Diego Schwartzman,24
Ivo Karlovic,20,Karen Khachanov,53,Kevin Anderson,14
Fernando Verdasco,42,David Goffin,11,Taylor  Fritz,25
Radek Stepanek,107,Arthur De Greef,134,Stefanos Tsitsipas,7
Novak Djokovic,2,Horacio Zeballos,71,Daniil Medvedev,8
Andy Murray,1,Jeremy Chardy,69,Guido Pella,22
Gerald Melzer,68,Paul Henri Mathieu,73,David Goffin,19
Nicolas Almagro,44,Paolo Lorenzi,40,Borna Coric,13
Philipp Kohlschreiber,32,Malek Jaziri,58,Fabio Fognini,10
Tomas Berdych,10,Alessandro Giannessi,128,Frances Tiafoe,52
Jiri Vesely,55,Anil Yuksel,507,Albert Ramos-Vinolas,51
Dustin Brown,72,Facundo Bagnis,56,Miomir Kecmanovic,58
Jo Wilfried Tsonga,12,Andrey Kuznetsov,46,Denis Shapovalov,34
Ivo Karlovic,20,Illya Marchenko,74,Filip  Krajinovic,50
